,area_name,area_url
251,"Bihedral (Upper Tier), The",http://www.mountainproject.com/v/the-bihedral-upper-tier/105745016
252,Castaway Block,http://www.mountainproject.com/v/castaway-block/106597338
253,"Left Side, The",http://www.mountainproject.com/v/the-left-side/105859537
254,"Lower Tier, The",http://www.mountainproject.com/v/the-lower-tier/105936825
255,"Riviera, The",http://www.mountainproject.com/v/the-riviera/105744599
256,Blob Rock,http://www.mountainproject.com/v/blob-rock/105744617
257,East Blob,http://www.mountainproject.com/v/east-blob/105810506
258,Little Blob,http://www.mountainproject.com/v/little-blob/105811313
259,Small Package Block,http://www.mountainproject.com/v/small-package-block/105746883
260,Lower Right Side,http://www.mountainproject.com/v/lower-right-side/105863541
261,Main Crag,http://www.mountainproject.com/v/main-crag/105744638
262,"Dome Boulder, The",http://www.mountainproject.com/v/the-dome-boulder/107186734
263,Elephant Boulders,http://www.mountainproject.com/v/elephant-boulders/108020833
264,First Buttress,http://www.mountainproject.com/v/first-buttress/105810509
265,Fourth Buttress,http://www.mountainproject.com/v/fourth-buttress/105810518
266,Second Buttress,http://www.mountainproject.com/v/second-buttress/105810512
267,Third Buttress,http://www.mountainproject.com/v/third-buttress/105810515
268,Topknot,http://www.mountainproject.com/v/topknot/106129843
269,Hillbilly Rock  1,http://www.mountainproject.com/v/hillbilly-rock-1/105746191
270,Hillbilly Rock 2,http://www.mountainproject.com/v/hillbilly-rock-2/107978924
271,Hillbilly Rock 3,http://www.mountainproject.com/v/hillbilly-rock-3/107979136
272,Bachar's Block,http://www.mountainproject.com/v/bachars-block/106484870
273,Berlin Wall,http://www.mountainproject.com/v/berlin-wall/105746904
274,"Bhakti Point, Summit Knob",http://www.mountainproject.com/v/bhakti-point-summit-knob/105832559
275,Chrome Dome,http://www.mountainproject.com/v/chrome-dome/105746901
276,Critic's Block,http://www.mountainproject.com/v/critics-block/106365508
277,Freedom Boulder,http://www.mountainproject.com/v/freedom-boulder/105861955
278,Krishna & Serenity Spire,http://www.mountainproject.com/v/krishna--serenity-spire/105746892
279,Nickel Dome,http://www.mountainproject.com/v/nickel-dome/105746895
280,Pin Dome,http://www.mountainproject.com/v/pin-dome/105746898
281,Plotinus Wall,http://www.mountainproject.com/v/plotinus-wall/105746889
282,Universal Crusher Rock,http://www.mountainproject.com/v/universal-crusher-rock/105810821
283,Wall of Winter Warmth,http://www.mountainproject.com/v/wall-of-winter-warmth/105746907
284,Higher Security Risk,http://www.mountainproject.com/v/higher-security-risk/105746236
285,Lower Security Risk,http://www.mountainproject.com/v/lower-security-risk/105745235
286,Upper Security Risk,http://www.mountainproject.com/v/upper-security-risk/105744623
287,Ledge One,http://www.mountainproject.com/v/ledge-one/105810547
288,Lost Highway Area,http://www.mountainproject.com/v/lost-highway-area/105810556
289,Main Wall,http://www.mountainproject.com/v/main-wall/105810553
290,South Pillar,http://www.mountainproject.com/v/south-pillar/105810550
291,"Clock Tower, The",http://www.mountainproject.com/v/the-clock-tower/105811184
292,Forbidden Fruit Crag,http://www.mountainproject.com/v/forbidden-fruit-crag/105811178
293,Overhung Wall,http://www.mountainproject.com/v/overhung-wall/105811191
294,Owl Prow,http://www.mountainproject.com/v/owl-prow/105811181
295,Recovery Room,http://www.mountainproject.com/v/recovery-room/105811204
296,"Sky Cafe, The",http://www.mountainproject.com/v/the-sky-cafe/105811194
297,Sport Park Slab,http://www.mountainproject.com/v/sport-park-slab/105811198
298,"Stone Cafe, The",http://www.mountainproject.com/v/the-stone-cafe/107951333
299,Surprising Crag,http://www.mountainproject.com/v/surprising-crag/105811170
300,"Visor, The",http://www.mountainproject.com/v/the-visor/105811187
301,Creekside,http://www.mountainproject.com/v/creekside/106028722
302,"Garden, The",http://www.mountainproject.com/v/the-garden/106028710
303,Northwest Face,http://www.mountainproject.com/v/northwest-face/106028734
304,Sport Land,http://www.mountainproject.com/v/sport-land/106028695
305,Treasure Wall,http://www.mountainproject.com/v/treasure-wall/106028704
306,"Bastille - N Face, The",http://www.mountainproject.com/v/the-bastille---n-face/105744723
307,"Bastille - W Face, The",http://www.mountainproject.com/v/the-bastille---w-face/105807524
308,Accordion Boulder,http://www.mountainproject.com/v/accordion-boulder/108540385
309,Beach Boulders,http://www.mountainproject.com/v/beach-boulders/108540478
310,Blocks Rocks,http://www.mountainproject.com/v/blocks-rocks/108011945
311,Crank Rock,http://www.mountainproject.com/v/crank-rock/108048640
312,Creek Slab ,http://www.mountainproject.com/v/creek-slab-/108845132
313,Diamond Head Bouldering,http://www.mountainproject.com/v/diamond-head-bouldering/106731862
314,East Draw,http://www.mountainproject.com/v/east-draw/107882568
315,Edge Blocks,http://www.mountainproject.com/v/edge-blocks/108558834
316,"Freight Train Boulder, The",http://www.mountainproject.com/v/the-freight-train-boulder/107112167
317,Fringe Boulder,http://www.mountainproject.com/v/fringe-boulder/108050390
318,"Gill Boulder, The",http://www.mountainproject.com/v/the-gill-boulder/105992456
319,Hip Hop Boulder,http://www.mountainproject.com/v/hip-hop-boulder/108048695
320,Horn Boulder,http://www.mountainproject.com/v/horn-boulder/108540411
321,Mile Stone,http://www.mountainproject.com/v/mile-stone/108048669
322,Milton Boulder,http://www.mountainproject.com/v/milton-boulder/105984750
323,Mitten Boulder,http://www.mountainproject.com/v/mitten-boulder/108540466
324,"Musical Boulders (aka- Eldorado Canyon Trail Boulders ), The",http://www.mountainproject.com/v/the-musical-boulders-aka--eldorado-canyon-trail-boulders-/106096636
325,Punk Rock ,http://www.mountainproject.com/v/punk-rock-/108048615
326,Pyramid Boulder,http://www.mountainproject.com/v/pyramid-boulder/108050379
327,Redgarden Boulders,http://www.mountainproject.com/v/redgarden-boulders/106731896
328,River Block,http://www.mountainproject.com/v/river-block/108023360
329,Riverside Boulder,http://www.mountainproject.com/v/riverside-boulder/106722492
330,Splish Boulder,http://www.mountainproject.com/v/splish-boulder/108540403
331,Water Rock,http://www.mountainproject.com/v/water-rock/106669314
332,Wave Boulder,http://www.mountainproject.com/v/wave-boulder/108558584
